account,balance
0x13BD35a07754FE5160aFA39e3ebbb02CB3EBfcd8,1
0x1F13A5dC44911EbD98eA1b55AB5b7b2A99acCA14,1
0x42eA8f7153F5378EACDc999e5495791200194ffF,1
0x49236Ce2Eb4b67618513b37f09c101183e7367f6,1
0x544cf471677a51B41caA6C07431ffeB30959Df7D,1
0x59Bd42009DAAE544431D58793177D32e4f81A1B1,1
0x5a8C9e714082f1aF7EB9d12600FBCfb91Dfe2258,1
0x6a13c07E33d1e663823B71b7330821D0f070a74f,1
0x6b5c3d423e7cCD2A45bfd9996e1353E3d4313319,1
0x7066c68F07072E1DbFd2BAcf609be764741Fc915,1
0x75Fe3943a6C8866e1C41e1F35c74A9fB7a77b835,1
0x7E08C7606aCF5887B7dA9914f7c7cD05c2bec8Ab,3
0x7e86b2E9B9e6c0EE02b0200648d9FcF20557e3C5,1
0x8A7789f03a7155DA5a84E13d14B84B845c4535C1,1
0x91466D1c391C39B77F1723bA2EB98263323835BE,1
0x9b6e536706dDcc6F1Cd1d51e198F5bEd84085f21,1
0xA33be425a086dB8899c33a357d5aD53Ca3a6046e,1
0xAE91CB00C413A8D6089Ba0bc8bF66fbA47A912Ea,1
0xBFb148aB6678bBf4463590a98f5A87a2D094EdA9,1
0xC0E0De939f26e71683452467942Aff455ca153E3,1
0xc79C88386c95130bf7c20a184cb8281ed639faB4,1
0xC84350BcE9259D11f7518564520c9D3d6DDe3871,1
0xd71FE69B6cd5E599992CE51746659aE195cF04F8,1
0xe1645f135525ba04C90235718b4C33c995253e16,1
0xe4032633726549C64988CeB9A9F5333A4666a960,1
0xE52eF21875615682dc5Fa75D6a33a546e200f5f6,1
0xED322058482D1c751FD6CAcfA494495b8dee949f,1
0xee32b0367cd0ac0d9268488DFd94b0666959e40A,1
0xEF34f0fAD2BeC63a7D47d4A2179b3C06Fbe4aBB3,1
0xf67ee7222Ee6144aBf4344c6537a7d612A9b7F40,1
0xF9E43953E44E0b50C5C2F83e10a851590d67153C,1
